Imputation_,resilient,EFFORT1,ESCS,UNDREM,METASUM,METASPAM,DISCLIMA,TEACHSUP,DIRINS,PERFEED,STIMREAD,ADAPTIVITY,TEACHINT,JOYREAD,SCREADCOMP,SCREADDIFF,PISADIFF,PERCOMP,PERCOOP,ATTLNACT,COMPETE,WORKMAST,GFOFAIL,EUDMO,SWBP,MASTGOAL,DISCRIM,BELONG,BEINGBULLIED,EMOSUPP
0,0,8,-1.9067,.45,-.57,-.5,-.0424,-1.1481,-.8338,.0728,-.3302,-2.2652,-1.0615,-.6896,-.825,.9065,.8232,-.6142,-.9391,-1.1507,.1956,-.1015,1.1422,1.243,-.5928,-.4347,-.5252,-1.385,1.4721,-1.7606
0,0, ,-1.9768,-1.64,-.57,-.96,.9207,-1.1481,-.8332,-.3253,-.3302,.4572,.1744,.3568,-.5485,.5082,.7192, ,-.9391,-.6583,-.9792,-.1015,.4637,.2621,.7301,-1.3162,-1.1549,-.6765,-.7823,-1.7606
0,0,10,-2.5606,-.94,.59,.42,-.9047,.4394,-1.417,-.1625,-.62,.0183,-.5905,.7973,.1222,-1.0064,-.5536,-1.4753,-.9391,-.6583,-.5707,-.1015,1.3423,-.267,-1.3186,-.9149,-.3896,-1.0425,.6725,-.4858
0,0, ,-1.7161,-.6,-1.72,-.5,-.7909,-.2023,-.0424,-.0363,.4798,.4572,.1744,-.0176,.1222,.409,.7192,1.2186,-.9391,-.6583,-.2047,-.1015,.8794,1.348,-1.3186,.3468,1.7356,-.8575,.8233,-.115
0,0,10,-1.5904, , , ,2.0345,-2.7106,-2.9425,2.0165, ,2.0073,1.8245,-.2664, , , ,2.0378,1.6762,-2.5375, , , ,1.7411,1.2386,1.8524,3.0959, ,3.8591,-1.7606
0,0,7,-1.7182,-.94,-1.34,-.96,-.4667,-.2023,-.3733,.2012,-.2336,-.5786,-.2934,.3252,-.4089,-.0697,1.0453,.2865,-.4213,-.6583,-.2047,-.6545, ,-.3121,.3385,-.7346,.5493,-.9017,1.1928,.739
0,0,10,-1.4765,.8,.59,-.5,-.0424,.4394,1.1049,.7743,.5102,.4572,.8874,.7178,1.0657,-.0697,.2705,.6912,.6012,-.6583,1.2643,.487,.0208,.2621,-.5928,-.094,-1.1549,-.0358,1.2618,-1.7606
0,0,10,-1.6031,1.15,-.18,-.5,-.9729,-2.1007,-1.3309,-1.6391,-1.6579,-2.2652,-2.2177,-.1042,-.825,-1.8876,-1.272,.2865,-.9391,-1.8225,.1956,-.0039,.8207,1.7411,-.5928,-1.3162,-1.1549,-.6693,-.7823,-1.7606
0,0,5,-1.6668,-1.64,-1.72,-1.41,2.0345,1.314,1.8202,-.3253,2.0871,.4572,.1744,.0127,-1.0985,-.0697,.2705,.6912,.6012,-.6583,.1956,-.1015,-1.8939,.2621,-3.0666,-.4347,.5881,-.1666,-.7823,-1.7606
0,0,5,-1.2804,-1.64,-1.72,-1.41,-.0424,-1.1481,-1.0988,-.3253,-.62,-.5786,-2.2177,.0127,-1.0985,-.0697,.2705,-.6142,-.9391,-1.6139,-.9792,-1.3692,-.687,-.9827,-1.8489,-.4347,-1.1549,-.6659,-.7823,-1.7606
0,0, ,-1.9838,-1.64,-.18,-1.41,-.0424,-1.1481,-1.0988,-1.6391,-.62,-1.0467,-1.0615,-.2704,.1222,-.0697,.2705,2.0378,-2.1428,-1.1664,-.9792,-1.071,1.4083,-1.593,-.3236,-2.5252,.5881,-1.4062,1.4454,-1.7606
0,0,6,-1.9914,-1.64,-1.72,.42,1.1945,1.314,1.8202,1.251,.2751,.4572,.1744,.1372,-.5485,.5371,1.6524,.0866,.6012,-.6583,-.5707,-.1015,.8207,-.3121,1.2386,-.4347,1.0167,-.4415,-.7823,-1.7606
